name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang
ALMANZA TRUYOL Nestor Evian,ALMANZA TRUYOL NE,Nestor Evian ALMANZA TRUYOL,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,28/07/2002,,,,,Spanish
ABAROA Cesar,ABAROA C,Cesar ABAROA,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,18/11/1996,CONCEPCION,Chile,VALPARAISO,Chile,"English, Spanish"
SANHUEZA Eber,SANHUEZA E,Eber SANHUEZA,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,23/04/1998,PUERTO MONTT,Chile,VALPARAISO,Chile,Spanish
ABRAHAM Antonia,ABRAHAM A,Antonia ABRAHAM,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,07/07/1997,SAN PEDRO DE LA PAZ,Chile,,,Spanish
ABRAHAM Melita,ABRAHAM M,Melita ABRAHAM,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,07/07/1997,SAN PEDRO DE LA PAZ,Chile,,,Spanish
TEJEDA Gladys,TEJEDA G,Gladys TEJEDA,Female,Athlete,PER,Peru,Peru,Peru,Peru,PER,30/09/1985,HUANCAYO,Peru,HUANCAYO,Peru,Spanish
ROJAS Luz Mery,ROJAS LM,Luz Mery ROJAS,Female,Athlete,PER,Peru,Peru,Peru,Peru,PER,20/06/1993,HUANCAYO,Peru,HUANCAYO,Peru,Spanish
ABUZHAKYNOVA Abiba,ABUZHAKYNOVA A,Abiba ABUZHAKYNOVA,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,04/07/1997,,Kazakhstan,ALMATY,Kazakhstan,"Kazakh, Russian"
BERLIKASH Kamila,BERLIKASH K,Kamila BERLIKASH,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,09/11/1999,,Kazakhstan,ALMA-ATA,Kazakhstan,Kazakh
KUYULOVA Esmigul,KUYULOVA E,Esmigul KUYULOVA,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,11/05/2002,,Kazakhstan,,Kazakhstan,"Kazakh, Russian"
SMETOV Yeldos,SMETOV Y,Yeldos SMETOV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,09/09/1992,TARAZ,Kazakhstan,ALMA-ATA,Kazakhstan,"Kazakh, Russian"
KYRGYZBAYEV Gusman,KYRGYZBAYEV G,Gusman KYRGYZBAYEV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,28/09/1992,ALMATY,Kazakhstan,ALMATY,Kazakhstan,"Kazakh, Russian"
SHAMSHAYEV Daniyar,SHAMSHAYEV D,Daniyar SHAMSHAYEV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,03/08/2001,,Kazakhstan,,Kazakhstan,"Kazakh, Russian"
ZHUBANAZAR Abylaikhan,ZHUBANAZAR A,Abylaikhan ZHUBANAZAR,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,15/02/2000,,Kazakhstan,,Kazakhstan,Kazakh
SHARKHAN Nurlykhan,SHARKHAN N,Nurlykhan SHARKHAN,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,18/04/2000,KYZYLORDA,Kazakhstan,KYZYLORDA,Kazakhstan,"English, Russian"
BROVKOVA Mariya,BROVKOVA M,Mariya BROVKOVA,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,31/01/2005,,,ALGA,Kazakhstan,Russian
YEMELYANOV Sergey,YEMELYANOV S,Sergey YEMELYANOV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,19/05/1995,SHYMKENT,Kazakhstan,SHYMKENT,Kazakhstan,Russian
RAMATULLA Bekarys,RAMATULLA B,Bekarys RAMATULLA,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,26/07/2002,,,,,Kazakh
TOKARNYTSKYI Sergii,TOKARNYTSKYI S,Sergii TOKARNYTSKYI,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,01/02/1993,KAMIANSKE,Ukraine,,,"Russian, Ukrainian"
KHAIDAROV Timur,KHAIDAROV T,Timur KHAIDAROV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,28/03/1996,TASHKENT,Uzbekistan,,,Russian
ISKAKOVA Rufina,ISKAKOVA R,Rufina ISKAKOVA,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,13/10/2003,,,SHYMKENT,Kazakhstan,"Kazakh, Russian"
PACHECO Christian,PACHECO C,Christian PACHECO,Male,Athlete,PER,Peru,Peru,Peru,Peru,PER,26/05/1993,JAUJA,Peru,HUANCAYO,Peru,Spanish
RENDON MARTINEZ Ana,RENDON MARTINEZ A,Ana RENDON MARTINEZ,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,10/03/1986,MEDELLIN,Colombia,MEDELLIN,Colombia,Spanish
EZE Joy Ogbonne,EZE JO,Joy Ogbonne EZE,Female,Athlete,NGR,Nigeria,Nigeria,Nigeria,Nigeria,NGR,06/06/2004,,,ISU,Nigeria,English
GOMEZ Paula,GOMEZ P,Paula GOMEZ,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,07/11/2001,,,,,Spanish
MAILLIARD Maria Jose,MAILLIARD MJ,Maria Jose MAILLIARD,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,24/01/1991,QUINTERO,Chile,MALLORCA,Spain,Spanish
LAWAL Rafiatu Folashade,LAWAL RF,Rafiatu Folashade LAWAL,Female,Athlete,NGR,Nigeria,Nigeria,Nigeria,Nigeria,NGR,12/11/1996,,,,,
GARCIA LEON Kimberly,GARCIA LEON K,Kimberly GARCIA LEON,Female,Athlete,PER,Peru,Peru,Peru,Peru,PER,19/10/1993,HUANCAYO,Peru,CUENCA,Peru,Spanish
INGA Evelyn,INGA E,Evelyn INGA,Female,Athlete,PER,Peru,Peru,Peru,Peru,PER,16/04/1998,HUANCAYO,Peru,AREQUIPA,Peru,Spanish
ROCO Karen,ROCO K,Karen ROCO,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,07/10/1986,CONSTITUCION,Chile,CONSTITUCION,Chile,Spanish
ANDIA Mary Luz,ANDIA ML,Mary Luz ANDIA,Female,Athlete,PER,Peru,Peru,Peru,Peru,PER,09/11/2000,ESPINAR,Peru,AREQUIPA,Peru,Spanish
CASTILLO Ines Lucia,CASTILLO IL,Ines Lucia CASTILLO,Female,Athlete,PER,Peru,Peru,Peru,Peru,PER,07/12/1999,"BOCA RATON, FL",United States,LIMA,Peru,"English, Spanish"
