person,person_label,genders,dobs,countries,continents,hasMiddleName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason,surName,lastName,iso_country
http://www.wikidata.org/entity/Q100906604,Luiz Gonçalo,male,1960-06-05T00:00:00Z,Brazil,South America,False,False,Luiz Gonçalo,True,non_ascii,Luiz,Gonçalo,BR
http://www.wikidata.org/entity/Q100906944,Alan Shoemaker,male,1953-01-01T00:00:00Z,Peru,South America,False,False,Alan Shoemaker,False,,Alan,Shoemaker,PE
http://www.wikidata.org/entity/Q100907556,Victor Ramalho,male,1984-08-08T00:00:00Z,Brazil,South America,False,False,Victor Ramalho,False,,Victor,Ramalho,BR
http://www.wikidata.org/entity/Q100912575,Fabio Ribeiro,male,1986-04-08T00:00:00Z,Brazil,South America,False,False,Fabio Ribeiro,False,,Fabio,Ribeiro,BR
http://www.wikidata.org/entity/Q100915386,Pablo Rivas,male,1994-10-15T00:00:00Z,Panama,North America,False,False,Pablo Rivas,False,,Pablo,Rivas,PA
http://www.wikidata.org/entity/Q100918788,Marcelo Ruediger,male,1993-11-30T00:00:00Z,Brazil,South America,False,False,Marcelo Ruediger,False,,Marcelo,Ruediger,BR
http://www.wikidata.org/entity/Q100919342,Diogo Salazar,male,1983-05-02T00:00:00Z,Brazil,South America,False,False,Diogo Salazar,False,,Diogo,Salazar,BR
http://www.wikidata.org/entity/Q100921403,Rodrigo Segantim,male,1980-08-18T00:00:00Z,Brazil,South America,False,False,Rodrigo Segantim,False,,Rodrigo,Segantim,BR
http://www.wikidata.org/entity/Q100922794,Lucas Siewert,male,1997-05-05T00:00:00Z,Brazil,South America,False,False,Lucas Siewert,False,,Lucas,Siewert,BR
http://www.wikidata.org/entity/Q100922872,Juan Pablo Silveira,male,1986-03-03T00:00:00Z,Uruguay,South America,True,False,Juan Pablo Silveira,True,middleName,,,UY
http://www.wikidata.org/entity/Q100922873,Matheus Silveira,male,2000-01-01T00:00:00Z,Brazil,South America,False,False,Matheus Silveira,False,,Matheus,Silveira,BR
http://www.wikidata.org/entity/Q100925343,Romario Souza,male,1988-01-06T00:00:00Z,Brazil,South America,False,False,Romario Souza,False,,Romario,Souza,BR
http://www.wikidata.org/entity/Q100929179,Alex Guevara,male,1986-01-01T00:00:00Z,Peru,South America,False,False,Alex Guevara,False,,Alex,Guevara,PE
http://www.wikidata.org/entity/Q100930125,Omar Belmonte,male,1968-01-01T00:00:00Z,Argentina,South America,False,False,Omar Belmonte,False,,Omar,Belmonte,AR
http://www.wikidata.org/entity/Q100934331,Gerardo Miguel Nieves Loja,male,1963-06-13T00:00:00Z,Ecuador,South America,True,False,Gerardo Miguel Nieves Loja,True,middleName,,,EC
http://www.wikidata.org/entity/Q100935286,Alejandro Bullón,male,1947-01-01T00:00:00Z,Peru,South America,False,False,Alejandro Bullón,True,non_ascii,Alejandro,Bullón,PE
http://www.wikidata.org/entity/Q100935985,Fernando Tomasiello,male,1965-08-11T00:00:00Z,Brazil,South America,False,False,Fernando Tomasiello,False,,Fernando,Tomasiello,BR
http://www.wikidata.org/entity/Q100936543,Ricardo Trevisan,male,1978-03-30T00:00:00Z,Brazil,South America,False,False,Ricardo Trevisan,False,,Ricardo,Trevisan,BR
http://www.wikidata.org/entity/Q100936722,Tonny Trocha,male,1994-06-21T00:00:00Z,Colombia,South America,False,False,Tonny Trocha,False,,Tonny,Trocha,CO
http://www.wikidata.org/entity/Q100936934,Erick Suárez,male,1999-06-24T00:00:00Z,Bolivia,South America,False,False,Erick Suárez,True,non_ascii,Erick,Suárez,BO
http://www.wikidata.org/entity/Q100939595,Jesus Urbina,male,1984-07-09T00:00:00Z,Venezuela,South America,False,False,Jesus Urbina,False,,Jesus,Urbina,VE
http://www.wikidata.org/entity/Q100939652,Julio Lobo,male,1994-01-01T00:00:00Z,Brazil,South America,False,False,Julio Lobo,False,,Julio,Lobo,BR
http://www.wikidata.org/entity/Q100941930,Doug Viegas,male,1979-06-19T00:00:00Z,Brazil,South America,False,False,Doug Viegas,False,,Doug,Viegas,BR
http://www.wikidata.org/entity/Q100941932,Rodrigo Viegas,male,1979-02-13T00:00:00Z,Brazil,South America,False,False,Rodrigo Viegas,False,,Rodrigo,Viegas,BR
http://www.wikidata.org/entity/Q100942458,Alex Magallanes,male,1997-03-15T00:00:00Z,Peru,South America,False,False,Alex Magallanes,False,,Alex,Magallanes,PE
http://www.wikidata.org/entity/Q100942913,Pablo Jarrín,male,1983-01-01T00:00:00Z,Ecuador,South America,False,False,Pablo Jarrín,True,non_ascii,Pablo,Jarrín,EC
http://www.wikidata.org/entity/Q100943049,José Marconi Gomes Vieira,male,1962-01-01T00:00:00Z,Brazil,South America,True,False,José Marconi Gomes Vieira,True,middleName|non_ascii,,,BR
http://www.wikidata.org/entity/Q1009567,Geovanis Cassiani,male,1970-01-10T00:00:00Z,Colombia,South America,False,False,Geovanis Cassiani,False,,Geovanis,Cassiani,CO
http://www.wikidata.org/entity/Q100969202,José Maria Sciutto,male,1947-02-10T00:00:00Z,Argentina,South America,True,False,José Maria Sciutto,True,middleName|non_ascii,,,AR
http://www.wikidata.org/entity/Q100975589,Renato Aroeira,male,1954-05-18T00:00:00Z,Brazil,South America,False,False,Renato Aroeira,False,,Renato,Aroeira,BR
http://www.wikidata.org/entity/Q100977426,El Polaco,male,1987-05-23T00:00:00Z,Argentina,South America,False,False,El Polaco,False,,El,Polaco,AR
http://www.wikidata.org/entity/Q100978686,Nicolás Renán Aguilera Arroyo,male,1972-05-09T00:00:00Z,Bolivia,South America,True,False,Nicolás Renán Aguilera Arroyo,True,middleName|non_ascii,,,BO
http://www.wikidata.org/entity/Q100984038,Daniel King,male,1987-07-25T00:00:00Z,Panama,North America,False,False,Daniel King,False,,Daniel,King,PA
http://www.wikidata.org/entity/Q100984244,Enrique Rojas,male,1988-01-01T00:00:00Z,Venezuela,South America,False,False,Enrique Rojas,False,,Enrique,Rojas,VE
http://www.wikidata.org/entity/Q100985053,Alejandro Olivares,male,1976-11-03T00:00:00Z,Argentina,South America,False,False,Alejandro Olivares,False,,Alejandro,Olivares,AR
http://www.wikidata.org/entity/Q100987719,Santiago Rebagliati,male,1996-08-01T00:00:00Z,Peru,South America,False,False,Santiago Rebagliati,False,,Santiago,Rebagliati,PE
http://www.wikidata.org/entity/Q100991542,Correa Vargas Rodolfo,male,1978-01-01T00:00:00Z,Colombia,South America,True,False,Correa Vargas Rodolfo,True,middleName,,,CO
http://www.wikidata.org/entity/Q100991568,Luiz Rachid Trabulsi,male,1927-08-18T00:00:00Z,Brazil,South America,True,False,Luiz Rachid Trabulsi,True,middleName,,,BR
http://www.wikidata.org/entity/Q100995903,Bryan García,male,2001-01-18T00:00:00Z,Ecuador,South America,False,False,Bryan García,True,non_ascii,Bryan,García,EC
http://www.wikidata.org/entity/Q101001007,Kevin Zenón,male,2001-07-30T00:00:00Z,Argentina,South America,False,False,Kevin Zenón,True,non_ascii,Kevin,Zenón,AR
http://www.wikidata.org/entity/Q101001008,José Waikit Feng Ng,male,1992-01-01T00:00:00Z,Venezuela,South America,True,False,José Waikit Feng Ng,True,middleName|non_ascii,,,VE
http://www.wikidata.org/entity/Q101002993,Bruno Henrique de Sousa,male,1992-10-25T00:00:00Z,Brazil,South America,True,False,Bruno Henrique de Sousa,True,middleName,,,BR
http://www.wikidata.org/entity/Q101003117,Welder Knaf,male,1981-04-06T00:00:00Z,Brazil,South America,False,False,Welder Knaf,False,,Welder,Knaf,BR
http://www.wikidata.org/entity/Q101007471,Clemente Vásquez,male,1901-01-01T00:00:00Z,Ecuador,South America,False,False,Clemente Vásquez,True,non_ascii,Clemente,Vásquez,EC
http://www.wikidata.org/entity/Q101013567,Ariel Mamede,male,1989-05-24T00:00:00Z,Brazil,South America,False,False,Ariel Mamede,False,,Ariel,Mamede,BR
http://www.wikidata.org/entity/Q101016626,Imanol Machuca,male,2000-01-15T00:00:00Z,Argentina,South America,False,False,Imanol Machuca,False,,Imanol,Machuca,AR
http://www.wikidata.org/entity/Q101016975,Jared Fitzgerald,male,1998-08-16T00:00:00Z,Peru,South America,False,False,Jared Fitzgerald,False,,Jared,Fitzgerald,PE
http://www.wikidata.org/entity/Q101018258,China Balbino,male,1979-06-20T00:00:00Z,Brazil,South America,False,False,China Balbino,False,,China,Balbino,BR
http://www.wikidata.org/entity/Q1010218,Huenes Marcelo Lemos,male,1981-12-05T00:00:00Z,Brazil,South America,True,False,Huenes Marcelo Lemos,True,middleName,,,BR
http://www.wikidata.org/entity/Q1010259,Miguel Giacomuzzi,male,1958-08-07T00:00:00Z,Paraguay,South America,False,False,Miguel Giacomuzzi,False,,Miguel,Giacomuzzi,PY
http://www.wikidata.org/entity/Q101042418,J Chaiane,male,2002-07-31T00:00:00Z,Uruguay,South America,False,False,J Chaiane,False,,J,Chaiane,UY
http://www.wikidata.org/entity/Q101048869,João Vicente Freitas Neto,male,1949-12-19T00:00:00Z,Brazil,South America,True,False,João Vicente Freitas Neto,True,middleName|non_ascii,,,BR
http://www.wikidata.org/entity/Q101053044,Piero Hincapié,male,2002-01-09T00:00:00Z,Ecuador,South America,False,False,Piero Hincapié,True,non_ascii,Piero,Hincapié,EC
http://www.wikidata.org/entity/Q101063969,Aldo Zárate,male,2001-08-07T00:00:00Z,Paraguay,South America,False,False,Aldo Zárate,True,non_ascii,Aldo,Zárate,PY
http://www.wikidata.org/entity/Q101064328,Sergio Villamayor,male,1989-12-04T00:00:00Z,Argentina,South America,False,False,Sergio Villamayor,False,,Sergio,Villamayor,AR
http://www.wikidata.org/entity/Q101068088,Valmir Calheiros de Siqueira,male,1944-03-23T00:00:00Z,Brazil,South America,True,False,Valmir Calheiros de Siqueira,True,middleName,,,BR
http://www.wikidata.org/entity/Q101068125,Edécio Lopes Vasconcelos,male,1933-09-01T00:00:00Z,Brazil,South America,True,False,Edécio Lopes Vasconcelos,True,middleName|non_ascii,,,BR
http://www.wikidata.org/entity/Q101070061,Facundo Cáseres,male,2001-05-28T00:00:00Z,Argentina,South America,False,False,Facundo Cáseres,True,non_ascii,Facundo,Cáseres,AR
http://www.wikidata.org/entity/Q101070074,René Del Villar,male,1945-01-01T00:00:00Z,Chile,South America,True,False,René Del Villar,True,middleName|non_ascii,,,CL
http://www.wikidata.org/entity/Q101071783,Gianfranco Quattrini,male,1972-01-01T00:00:00Z,Peru,South America,False,False,Gianfranco Quattrini,False,,Gianfranco,Quattrini,PE
http://www.wikidata.org/entity/Q101078672,Leonel Bucca,male,1999-03-20T00:00:00Z,Argentina,South America,False,False,Leonel Bucca,False,,Leonel,Bucca,AR
http://www.wikidata.org/entity/Q101080038,Pedro Mario Pereyra,male,1943-07-20T00:00:00Z,Argentina,South America,True,False,Pedro Mario Pereyra,True,middleName,,,AR
http://www.wikidata.org/entity/Q101083354,Fabio Martínez,male,1981-01-01T00:00:00Z,Argentina,South America,False,False,Fabio Martínez,True,non_ascii,Fabio,Martínez,AR
http://www.wikidata.org/entity/Q101084011,Lucas Esquivel,male,2001-10-14T00:00:00Z,Argentina,South America,False,False,Lucas Esquivel,False,,Lucas,Esquivel,AR
http://www.wikidata.org/entity/Q101084016,Hernán Cereceda,male,1926-04-29T00:00:00Z,Chile,South America,False,False,Hernán Cereceda,True,non_ascii,Hernán,Cereceda,CL
http://www.wikidata.org/entity/Q101084326,Carlos Alberto Santos Costa,male,1977-01-01T00:00:00Z,Brazil,South America,True,False,Carlos Alberto Santos Costa,True,middleName,,,BR
http://www.wikidata.org/entity/Q101084360,Facundo Kruspzky,male,2002-07-28T00:00:00Z,Argentina,South America,False,False,Facundo Kruspzky,False,,Facundo,Kruspzky,AR
http://www.wikidata.org/entity/Q101084366,Jorge Chávez Álvarez,male,1955-01-16T00:00:00Z,Peru,South America,True,False,Jorge Chávez Álvarez,True,middleName|non_ascii,,,PE
http://www.wikidata.org/entity/Q101084371,Wilbert Portugal,male,1976-09-16T00:00:00Z,Peru,South America,False,False,Wilbert Portugal,False,,Wilbert,Portugal,PE
http://www.wikidata.org/entity/Q101084387,Jaime Salomón,male,1963-01-01T00:00:00Z,Peru,South America,False,False,Jaime Salomón,True,non_ascii,Jaime,Salomón,PE
http://www.wikidata.org/entity/Q101084681,Mario Unzueta Urquidi,male,1905-01-01T00:00:00Z,Bolivia,South America,True,False,Mario Unzueta Urquidi,True,middleName,,,BO
http://www.wikidata.org/entity/Q101085450,Nicolás Rossi,male,1998-06-18T00:00:00Z,Argentina,South America,False,False,Nicolás Rossi,True,non_ascii,Nicolás,Rossi,AR
http://www.wikidata.org/entity/Q101090250,Claudio Javier Zega,male,1975-04-30T00:00:00Z,Argentina,South America,True,False,Claudio Javier Zega,True,middleName,,,AR
http://www.wikidata.org/entity/Q101092866,Nelsinho Santana,male,1955-07-31T00:00:00Z,Brazil,South America,False,False,Nelsinho Santana,False,,Nelsinho,Santana,BR
http://www.wikidata.org/entity/Q101094265,Raúl Cortés Peña,male,1915-03-18T00:00:00Z,Chile,South America,True,False,Raúl Cortés Peña,True,middleName|non_ascii,,,CL
http://www.wikidata.org/entity/Q101094279,Kencris,male,1997-10-05T00:00:00Z,Peru,South America,True,True,Kencris,True,middleName|noLastName,,,PE
http://www.wikidata.org/entity/Q101095876,Tom Veiga,male,1973-02-06T00:00:00Z,Brazil,South America,False,False,Tom Veiga,False,,Tom,Veiga,BR
http://www.wikidata.org/entity/Q101107246,Cesar Lora,male,1927-08-15T00:00:00Z,Bolivia,South America,False,False,Cesar Lora,False,,Cesar,Lora,BO
