,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source
136,Malak Selim,Malak,Selim,female,EG,Africa,2003,False,False,wikidata
137,Login Elsasyed,Login,Elsasyed,female,EG,Africa,2003,False,False,wikidata
138,Sara Rostom,Sara,Rostom,female,EG,Africa,1996,False,False,wikidata
139,Mary Caroline Gomez,,,female,GM,Africa,2000,True,False,wikidata
140,Janet Karim,Janet,Karim,female,MW,Africa,1954,False,False,wikidata
141,Zainab Gimba,Zainab,Gimba,female,NG,Africa,1972,False,False,wikidata
142,Joana Nnazua Kolo,,,female,NG,Africa,1993,True,False,wikidata
143,Farah Hussein,Farah,Hussein,female,EG,Africa,2001,False,False,wikidata
144,Mandy Mohamed,Mandy,Mohamed,female,EG,Africa,2000,False,False,wikidata
145,Farah Salem,Farah,Salem,female,EG,Africa,2001,False,False,wikidata
146,Adekemi Adesida,Adekemi,Adesida,female,NG,Africa,1991,False,False,wikidata
147,Amenaghawon Osaretin Melvin,,,female,NG,Africa,1995,True,False,wikidata
148,Helen Ocheke,Helen,Ocheke,female,NG,Africa,1989,False,False,wikidata
149,Adenike Oyekunle,Adenike,Oyekunle,female,NG,Africa,1996,False,False,wikidata
150,Oluwadamilola Oluwafemi,Oluwadamilola,Oluwafemi,female,NG,Africa,1994,False,False,wikidata
151,Cathryn Credo,Cathryn,Credo,female,TZ,Africa,1997,False,False,wikidata
152,Sheila Munyiva,Sheila,Munyiva,female,KE,Africa,1993,False,False,wikidata
153,Michelle Abueng,Michelle,Abueng,female,BW,Africa,2001,False,False,wikidata
154,Adèle Degbalase Kanda,,,female,,Africa,1950,True,False,wikidata
155,Henrietta Mbawah,Henrietta,Mbawah,female,SL,Africa,1988,False,False,wikidata
156,Hadja Diaka Diakité,,,female,GN,Africa,1950,True,False,wikidata
157,Sanaba Kaba,Sanaba,Kaba,female,GN,Africa,1950,False,False,wikidata
158,Amina Mohammed Baloni,,,female,NG,Africa,1961,True,False,wikidata
159,Davina Itoo,Davina,Itoo,female,MU,Africa,1983,False,False,wikidata
160,Zainab Ibrahim Kuchi,,,female,NG,Africa,1958,True,False,wikidata
161,Hannatu Bashir,Hannatu,Bashir,female,NG,Africa,1992,False,False,wikidata
162,Fadila Muhammad,Fadila,Muhammad,female,NG,Africa,1992,False,False,wikidata
163,Susan Akene,Susan,Akene,female,NG,Africa,1989,False,False,wikidata
164,Yolanda Steyn,Yolanda,Steyn,female,ZA,Africa,1972,False,False,wikidata
165,Johanna Mafuyana,Johanna,Mafuyana,female,ZW,Africa,1927,False,False,wikidata
166,Bouchra Zboured,Bouchra,Zboured,female,MA,Africa,1950,False,False,wikidata
167,Irène Josianne Ngouhada,,,female,CM,Africa,1978,True,False,wikidata
168,Uzamat Akinbile Yussuf,,,female,NG,Africa,1976,True,False,wikidata
169,Arlete Bombe,Arlete,Bombe,female,MZ,Africa,1983,False,False,wikidata
170,Selma Hellal,Selma,Hellal,female,DZ,Africa,1973,False,False,wikidata
171,Yéli Monique Kam,,,female,BF,Africa,1973,True,False,wikidata
172,Lihle Dhlomo,Lihle,Dhlomo,female,ZA,Africa,1990,False,False,wikidata
173,Sukai Mbye Bojang,,,female,GM,Africa,1955,True,False,wikidata
174,Rebecca Majeka,Rebecca,Majeka,female,ZA,Africa,1939,False,False,wikidata
175,Helena Amoako,Helena,Amoako,female,GH,Africa,1975,False,False,wikidata
176,Dora Manu,Dora,Manu,female,GH,Africa,1976,False,False,wikidata
177,Yetunde Arobieke,Yetunde,Arobieke,female,NG,Africa,1960,False,False,wikidata
178,Mable Esendi,Mable,Esendi,female,KE,Africa,1961,False,False,wikidata
179,Florence Wanjiru,Florence,Wanjiru,female,KE,Africa,1950,False,False,wikidata
180,Emebet Shiferaw,Emebet,Shiferaw,female,ET,Africa,1973,False,False,wikidata
181,Ilse Wicksell,Ilse,Wicksell,female,ZA,Africa,1959,False,False,wikidata
182,Berhane Herpassa,Berhane,Herpassa,female,ET,Africa,1983,False,False,wikidata
183,Mayra Rondo,Mayra,Rondo,female,GQ,Africa,1988,False,False,wikidata
184,Linah Cheruiyot,Linah,Cheruiyot,female,KE,Africa,1950,False,False,wikidata
185,Regina Chemeli,Regina,Chemeli,female,KE,Africa,1970,False,False,wikidata
186,Esther Ndoumbé,,,female,CM,Africa,1940,False,False,wikidata
187,Geneviève Obone,,,female,GA,Africa,1990,False,False,wikidata
188,Diane Zancy,Diane,Zancy,female,GA,Africa,1950,False,False,wikidata
189,Rethabile Ramaphakela,Rethabile,Ramaphakela,female,ZA,Africa,1987,False,False,wikidata
190,Pearl Jansen,Pearl,Jansen,female,ZA,Africa,1950,False,False,wikidata
191,Viola Jelagat,Viola,Jelagat,female,KE,Africa,1992,False,False,wikidata
192,Martha Udom,Martha,Udom,female,NG,Africa,1970,False,False,wikidata
193,Ismahane Lahmar,Ismahane,Lahmar,female,TN,Africa,1982,False,False,wikidata
194,Yejide Kilanko,Yejide,Kilanko,female,NG,Africa,1975,False,False,wikidata
195,Cora Amelia Musk,,,female,ZA,Africa,1923,True,False,wikidata
196,Edna Noy,Edna,Noy,female,ZA,Africa,1950,False,False,wikidata
197,Mouna Sabri,Mouna,Sabri,female,MA,Africa,1984,False,False,wikidata
198,Ajibola Ponnle,Ajibola,Ponnle,female,NG,Africa,1973,False,False,wikidata
199,Aya Samaha,Aya,Samaha,female,EG,Africa,1992,False,False,wikidata
200,Adaku Ufere-Awoonor,,,female,NG,Africa,1985,False,False,wikidata
201,Oceanne Iradukunda,Oceanne,Iradukunda,female,RW,Africa,1996,False,False,wikidata
202,Laila Gohar,Laila,Gohar,female,EG,Africa,1988,False,False,wikidata
203,Rolande Ngo Issi,,,female,CM,Africa,1981,True,False,wikidata
204,Tanatsei Gambura,Tanatsei,Gambura,female,ZW,Africa,1999,False,False,wikidata
205,Mosun Belo-Olusoga,,,female,NG,Africa,1957,False,False,wikidata
206,Arame Fall,Arame,Fall,female,SN,Africa,1936,False,False,wikidata
207,Nomvelo Makhanya,Nomvelo,Makhanya,female,ZA,Africa,1996,False,False,wikidata
208,Nunu Khumalo,Nunu,Khumalo,female,ZA,Africa,1992,False,False,wikidata
