index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
243,Aisha Jawara,Aisha,female,female,GM,False,genderGuesser,female
244,Sita Valles,Sita,female,female,AO,False,genderGuesser,female
245,Cesária Évora,Cesária,female,unknown,,False,genderGuesser,unknown
246,Taciana Lima,Taciana,female,unknown,GW,False,genderGuesser,unknown
247,Sibonisiwe Sithole,Sibonisiwe,female,unknown,ZW,False,genderGuesser,unknown
248,Precious Mustapha,Precious,female,female,NG,False,genderGuesser,female
249,Titina Rodriguês,Titina,female,female,,False,genderGuesser,female
250,Ghada Maatouk,Ghada,female,female,TN,False,genderGuesser,female
251,Penda Diakité,Penda,female,unknown,ML,False,genderGuesser,unknown
252,Vera Okolo,Vera,female,female,NG,False,genderGuesser,female
253,Mulu Gebreegziabher,Mulu,female,unknown,ET,False,genderGuesser,unknown
254,Zaida Chongo,Zaida,female,female,MZ,False,genderGuesser,female
255,Fatoumata Ka,Fatoumata,female,unknown,SN,False,genderGuesser,unknown
256,Mantoulaye Guene,Mantoulaye,female,unknown,SN,False,genderGuesser,unknown
257,Érica Chissapa,Érica,female,unknown,AO,False,genderGuesser,unknown
258,Imaan Sulaiman-Ibrahim,Imaan,female,unknown,NG,False,genderGuesser,unknown
259,Fadima Diawara,Fadima,female,unknown,GN,False,genderGuesser,unknown
260,Josephine Effah-Chukwuma,Josephine,female,female,NG,False,genderGuesser,female
261,Ophelia Hayford,Ophelia,female,female,GH,False,genderGuesser,female
262,Sheila Bartels,Sheila,female,female,GH,False,genderGuesser,female
263,Hirut Woldemariam,Hirut,female,unknown,ET,False,genderGuesser,unknown
264,Chioma Mang,Chioma,female,unknown,NG,False,genderGuesser,unknown
265,Fatim Cissé,Fatim,female,unknown,,False,genderGuesser,unknown
266,Rasha Samir,Rasha,female,female,EG,False,genderGuesser,female
267,Natasha Joubert,Natasha,female,female,ZA,False,genderGuesser,female
268,Mercy Kainobwisho,Mercy,female,unknown,UG,False,genderGuesser,unknown
269,Radwa Sayed,Radwa,female,unknown,EG,False,genderGuesser,unknown
270,Dina Salústio,Dina,female,female,,False,genderGuesser,female
271,Souad Labbize,Souad,female,female,DZ,False,genderGuesser,female
272,Faith Mazibuko,Faith,female,female,ZA,False,genderGuesser,female
273,Leila Beratto,Leila,female,female,DZ,False,genderGuesser,female
274,Victoire Agbanrin-Elisha,Victoire,female,female,BJ,False,genderGuesser,female
275,Dawn Lindberg,Dawn,female,female,ZA,False,genderGuesser,female
276,Honorine Ngou,Honorine,female,female,GA,False,genderGuesser,female
277,Mireille Tchengang,Mireille,female,female,CM,False,genderGuesser,female
278,Ndeutala Angolo,Ndeutala,female,unknown,,False,genderGuesser,unknown
279,Jane Karuku,Jane,female,female,KE,False,genderGuesser,female
280,Zahia Benarous,Zahia,female,female,DZ,False,genderGuesser,female
