index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
294,Rahma Abdulmajid,Rahma,female,unknown,NG,False,genderGuesser,unknown
295,Victoria Aguiyi-Ironsi,Victoria,female,female,NG,False,genderGuesser,female
296,Hirut Kassaw,Hirut,female,unknown,ET,False,genderGuesser,unknown
297,Aderonke Apata,Aderonke,female,unknown,NG,False,genderGuesser,unknown
298,Karin Avenant,Karin,female,female,ZA,False,genderGuesser,female
299,Hanna Lalango,Hanna,female,female,ET,False,genderGuesser,female
300,Fetlework Gebregziabher,Fetlework,female,unknown,ET,False,genderGuesser,unknown
301,Ms Cosmo,Ms,female,unknown,ZA,False,genderGuesser,unknown
302,Soraya Mellili,Soraya,female,female,DZ,False,genderGuesser,female
303,Cynthia Fraser,Cynthia,female,female,ZA,False,genderGuesser,female
304,Rosemary Nyerere,Rosemary,female,female,TZ,False,genderGuesser,female
305,Kamini Pather,Kamini,female,female,ZA,False,genderGuesser,female
306,Doreen Kabareebe,Doreen,female,female,UG,False,genderGuesser,female
307,Sophie Adonon,Sophie,female,female,BJ,False,genderGuesser,female
308,Fitsum Assefa,Fitsum,female,unknown,ET,False,genderGuesser,unknown
309,Dinah Reindorf,Dinah,female,female,GH,False,genderGuesser,female
310,Fatmah Selim,Fatmah,female,unknown,EG,False,genderGuesser,unknown
311,Ergoge Tesfaye,Ergoge,female,unknown,ET,False,genderGuesser,unknown
312,Cashandra Slingerland,Cashandra,female,unknown,ZA,False,genderGuesser,unknown
313,Bintou Keita,Bintou,female,unknown,GN,False,genderGuesser,unknown
314,Hadjira Oumouri,Hadjira,female,unknown,KM,False,genderGuesser,unknown
315,Tosin Otubajo,Tosin,female,unknown,NG,False,genderGuesser,unknown
316,Lamia Essaadi,Lamia,female,female,MA,False,genderGuesser,female
317,Veronica Openibo,Veronica,female,female,NG,False,genderGuesser,female
318,Nombulelo Hermans,Nombulelo,female,unknown,ZA,False,genderGuesser,unknown
319,Mariya Nzigiyimana,Mariya,female,female,BI,False,genderGuesser,female
320,Halimatou Diallo,Halimatou,female,unknown,GN,False,genderGuesser,unknown
321,Evelyn Mase,Evelyn,female,female,ZA,False,genderGuesser,female
322,Chibesa Kankasa,Chibesa,female,unknown,ZM,False,genderGuesser,unknown
323,Alice Mashingaidze,Alice,female,female,ZW,False,genderGuesser,female
324,Essmat Ezzat,Essmat,female,unknown,EG,False,genderGuesser,unknown
325,Amélia Sumbana,Amélia,female,female,MZ,False,genderGuesser,female
