,Unnamed: 0,person,person_label,genders,dobs,countries,continents,hasMiddleName,hasProblematicName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason
75,75.0,http://www.wikidata.org/entity/Q100571577,Hadassah Spira Epstein,female,1909-12-30T00:00:00Z,Ottoman Empire,Africa,True,False,False,Hadassah Spira Epstein,False,
76,76.0,http://www.wikidata.org/entity/Q100571835,Habiba Marzouk,female,2002-05-14T00:00:00Z,Egypt,Africa,False,False,False,Habiba Marzouk,False,
77,77.0,http://www.wikidata.org/entity/Q100571950,Anne-Leen Thorburn,female,2006-01-01T00:00:00Z,Namibia,Africa,False,False,False,Anne-Leen Thorburn,True,hyphen
78,78.0,http://www.wikidata.org/entity/Q100571960,Garcelle Napier,female,2005-05-10T00:00:00Z,South Africa,Africa,False,False,False,Garcelle Napier,False,
79,79.0,http://www.wikidata.org/entity/Q100571994,Janke du Plessis,female,2005-01-01T00:00:00Z,Namibia,Africa,True,False,False,Janke du Plessis,False,
80,80.0,http://www.wikidata.org/entity/Q100572021,Phiwe Mangaliso Nhleko,female,2006-01-31T00:00:00Z,South Africa,Africa,True,False,False,Phiwe Mangaliso Nhleko,False,
81,81.0,http://www.wikidata.org/entity/Q100572044,Shante Thandiso Keleboglie Koti,female,2006-06-11T00:00:00Z,South Africa,Africa,True,False,False,Shante Thandiso Keleboglie Koti,False,
82,82.0,http://www.wikidata.org/entity/Q100574455,Hannah de Goede,female,2006-01-01T00:00:00Z,Namibia,Africa,True,False,False,Hannah de Goede,False,
83,83.0,http://www.wikidata.org/entity/Q100574461,Isabella Tanya Bottger,female,2006-01-01T00:00:00Z,South Africa,Africa,True,False,False,Isabella Tanya Bottger,False,
84,84.0,http://www.wikidata.org/entity/Q100574489,Jasmin Pillay,female,2006-01-01T00:00:00Z,South Africa,Africa,False,False,False,Jasmin Pillay,False,
85,85.0,http://www.wikidata.org/entity/Q100574751,Minette Hough,female,2004-01-01T00:00:00Z,Namibia,Africa,False,False,False,Minette Hough,False,
86,86.0,http://www.wikidata.org/entity/Q100574781,Olivia Laszlo Bergem,female,2006-01-01T00:00:00Z,Namibia,Africa,True,False,False,Olivia Laszlo Bergem,False,
87,87.0,http://www.wikidata.org/entity/Q100587672,Fatou Samba,female,1995-03-25T00:00:00Z,Senegal,Africa,False,False,False,Fatou Samba,False,
88,88.0,http://www.wikidata.org/entity/Q100594757,Tyde Kara Cooper,female,2006-01-01T00:00:00Z,South Africa,Africa,True,False,False,Tyde Kara Cooper,False,
89,89.0,http://www.wikidata.org/entity/Q100598230,Melissa Cohen,female,1986-01-01T00:00:00Z,South Africa,Africa,False,False,False,Melissa Cohen,False,
90,90.0,http://www.wikidata.org/entity/Q100605576,Sira Jallow,female,2004-01-01T00:00:00Z,The Gambia,Africa,False,False,False,Sira Jallow,False,
91,91.0,http://www.wikidata.org/entity/Q100698240,Vivienne Roumani,female,1950-01-01T00:00:00Z,Libya,Africa,False,False,False,Vivienne Roumani,False,
92,92.0,http://www.wikidata.org/entity/Q100699718,Mariya Petrovna Zhabinskaya,female,1938-05-22T00:00:00Z,Mozambique,Africa,True,False,False,Mariya Petrovna Zhabinskaya,False,
93,93.0,http://www.wikidata.org/entity/Q100700170,Sophie Heidi Kam,female,1968-01-01T00:00:00Z,Burkina Faso,Africa,True,False,False,Sophie Heidi Kam,False,
94,94.0,http://www.wikidata.org/entity/Q100705251,Mariama Sowe,female,2000-01-01T00:00:00Z,The Gambia,Africa,False,False,False,Mariama Sowe,False,
95,95.0,http://www.wikidata.org/entity/Q100728340,Hannah Faal-Heim,female,2000-01-01T00:00:00Z,The Gambia,Africa,False,False,False,Hannah Faal-Heim,True,hyphen
96,96.0,http://www.wikidata.org/entity/Q100740557,Tsehay Melaku,female,1952-01-01T00:00:00Z,Ethiopia,Africa,False,False,False,Tsehay Melaku,False,
97,97.0,http://www.wikidata.org/entity/Q100741876,Tamy Moyo,female,1998-01-05T00:00:00Z,Zimbabwe,Africa,False,False,False,Tamy Moyo,False,
98,98.0,http://www.wikidata.org/entity/Q100742177,Alphonse Menyo,female,1998-01-01T00:00:00Z,Ghana,Africa,False,False,False,Alphonse Menyo,False,
99,99.0,http://www.wikidata.org/entity/Q100744984,Chiedza Mhende,female,1991-10-19T00:00:00Z,Zimbabwe,Africa,False,False,False,Chiedza Mhende,False,
100,100.0,http://www.wikidata.org/entity/Q100747748,Shana Dowdeswell,female,1989-04-01T00:00:00Z,Zimbabwe,Africa,False,False,False,Shana Dowdeswell,False,
101,101.0,http://www.wikidata.org/entity/Q100778343,Jean Doyle,female,1930-01-01T00:00:00Z,South Africa,Africa,False,False,False,Jean Doyle,False,
